type,category,label,marker
broad,immune,,PTPRC
broad,vasculature,,CDH5
broad,vasculature,,VWF
fine,immune,B cell,CD79A
fine,immune,B cell,CD79B
fine,immune,B cell,CD37
fine,immune,B cell,MS4A1
fine,immune,B cell,BANK1
fine,immune,B cell,BLK
fine,immune,B cell,VPREB3
fine,immune,B cell,RP5-887A10.1
fine,immune,DC,FCER1A
fine,immune,DC,PLD4
fine,immune,DC,JAML
fine,immune,DC,PKIB
fine,immune,DC,CTSH
fine,immune,Mast cell,TPSAB1
fine,immune,Mast cell,TPSB2
fine,immune,Mast cell,CPA3
fine,immune,Mast cell,HPGD
fine,immune,Mast cell,HPGDS
fine,immune,Mast cell,HDC
fine,immune,Mast cell,RGS13
fine,immune,Mast cell,MAOB
fine,immune,Mast cell,KRT1
fine,immune,Mast cell,AC004791.2
fine,immune,Mast cell,SLC45A3
fine,immune,Mast cell,SVOPL
fine,immune,Mast cell,CTSG
fine,immune,Mast cell,KIT
fine,immune,Mast cell,VWA5A
fine,immune,Mast cell,ALDH1A1
fine,immune,Mast cell,SDPR
fine,immune,Mast cell,MS4A2
fine,immune,Mast cell,C1orf186
fine,immune,Mast cell,GATA2
fine,immune,Mast cell,LTC4S
fine,immune,Mast cell,RP11-354E11.2
fine,immune,Mast cell,SLC18A2
fine,immune,Mast cell,LAPTM4A
fine,immune,Mast cell,ANXA1
fine,immune,Mast cell,SAMSN1
fine,immune,Monocyte,LYZ
fine,immune,Monocyte,VCAN
fine,immune,Monocyte,FCN1
fine,immune,Monocyte,TIMP1
fine,immune,Monocyte,S100A9
fine,immune,Monocyte,S100A12
fine,immune,Monocyte,S100A6
fine,immune,Monocyte,EREG
fine,immune,Monocyte,S100A8
fine,immune,Monocyte,LINC01272
fine,immune,Monocyte,TYROBP
fine,immune,Monocyte,CFD
fine,immune,Monocyte,SERPINA1
fine,immune,Monocyte,NEAT1
fine,immune,NK cell,CD7
fine,immune,NK cell,CCL5
fine,immune,NK cell,KLRB1
fine,immune,NK cell,KLRC1
fine,immune,NK cell,HOPX
fine,immune,NK cell,GZMB
fine,immune,NK cell,APOBEC3G
fine,immune,NK cell,KRT86
fine,immune,NK cell,KLRD1
fine,immune,NK cell,MATK
fine,immune,NK cell,IL2RB
fine,immune,NK cell,HCST
fine,immune,NK cell,XCL2
fine,immune,NK cell,XCL1
fine,immune,NK cell,EVL
fine,immune,NK cell,GNLY
fine,immune,NK cell,TRDC
fine,immune,NK cell,CD247
fine,immune,NK cell,CD2
fine,immune,NK cell,LCK
fine,immune,NK cell,PRF1
fine,immune,NK cell,CST7
fine,immune,NK cell,CTSW
fine,immune,NK cell,STMN1
fine,immune,NK cell,GZMA
fine,immune,NK cell,NKG7
fine,immune,T cell,IL32
fine,immune,T cell,SIT1
fine,immune,T cell,CD3D
fine,immune,T cell,GIMAP7
fine,immune,T cell,SPOCK2
fine,immune,T cell,IL7R
fine,immune,T cell,TRBC1
fine,immune,T cell,TRBC2
fine,immune,T cell,LCK
fine,immune,T cell,CCL5
fine,immune,T cell,CD3G
fine,immune,T cell,CD3E
fine,immune,T cell,CD2
fine,immune,T cell,TRAC
fine,immune,T cell,CD27
fine,immune,T cell,LTB
fine,immune,Macrophage,FTL
fine,immune,Macrophage,C1QC
fine,immune,Macrophage,APOE
fine,immune,Macrophage,C1QB
fine,immune,Macrophage,C1QA
fine,immune,Macrophage,APOC1
fine,immune,Macrophage,TREM2
fine,immune,Macrophage,VSIG4
fine,immune,Macrophage,FCGBP
fine,immune,Macrophage,PLTP
fine,immune,Macrophage,A2M
fine,immune,Macrophage,AIF1
fine,immune,Macrophage,GPNMB
fine,immune,Macrophage,NPC2
fine,immune,Macrophage,MT2A
fine,immune,Macrophage,MT1E
fine,immune,Macrophage,CD9
fine,immune,Macrophage,SAT1
fine,immune,Macrophage,RP11-552D4.1
fine,immune,Macrophage,SPP1
fine,immune,Macrophage,ITGA4
fine,immune,Macrophage,TGFBI
fine,immune,Macrophage,LGALS3BP
fine,immune,Macrophage,IFITM2
fine,immune,Macrophage,IFITM3
fine,immune,Macrophage,TAGLN2
fine,immune,Macrophage,FPR3
fine,immune,Macrophage,KYNU
fine,immune,Macrophage,S100A11
fine,immune,Macrophage,S100A6
fine,immune,Macrophage,TGM2
fine,immune,Macrophage,EMILIN2
fine,immune,Macrophage,GDA
fine,immune,Macrophage,HP
fine,immune,Macrophage,SELL
fine,immune,Macrophage,CD163
fine,immune,Macrophage,MRC1
fine,immune,Macrophage,LYVE1
fine,immune,Macrophage,SIGLEC1
fine,immune,Microglia,TMEM119
fine,immune,Microglia,TREM2
fine,immune,Microglia,CX3CR1
fine,immune,Microglia,P2RY12
fine,immune,Microglia,ALOX5AP
fine,immune,Microglia,ADORA3
fine,immune,Microglia,IGSF6
fine,immune,Microglia,ACY3
fine,immune,Microglia,RASAL3
fine,immune,Microglia,TBXAS1
fine,immune,Microglia,SASH3
fine,immune,Microglia,SUSD3
fine,immune,Microglia,P2RY13
fine,immune,Microglia,TMIGD3
fine,immune,Microglia,GPR34
fine,immune,Microglia,OLFML3
fine,immune,Microglia,SELPLG
fine,immune,Microglia,SPARC
fine,immune,Microglia,FOS
fine,immune,Microglia,SIGLEC10
fine,immune,Microglia,C3
fine,immune,Microglia,SLC2A5
fine,immune,Microglia,SLC1A3
fine,immune,Microglia,PF4
fine,immune,Microglia,BIN1
fine,immune,Microglia,RNASET2
fine,immune,Microglia,RGS10
fine,immune,Microglia,SGK1
fine,immune,Microglia,F13A1
fine,immune,Microglia,IFIT3
fine,immune,Microglia,MCM5
fine,immune,Microglia,DAB2
fine,immune,Microglia,IFNGR1
fine,immune,Microglia,APBB1IP
fine,immune,Microglia,LILRB4
fine,immune,Microglia,CYFIP1
fine,immune,Microglia,CXCR2
fine,immune,Microglia,SCD2
fine,immune,Microglia,PSAT1
fine,immune,Microglia,CSF2RA
fine,immune,Microglia,CSF1
fine,immune,Microglia,CSF1R
fine,immune,Microglia,CRYBB1
fine,immune,Microglia,FCRLS
fine,immune,Microglia,MAFB
fine,immune,Microglia,PMEPA1
fine,immune,Microglia,CD14
fine,immune,Microglia,LPL
fine,immune,Microglia,CST7
fine,normal,Astrocyte,SLC1A2
fine,normal,Astrocyte,SPARCL1
fine,normal,Astrocyte,CPE
fine,normal,Astrocyte,ALDOC
fine,normal,Astrocyte,CLU
fine,normal,Astrocyte,SLC1A3
fine,normal,Astrocyte,AQP4
fine,normal,Astrocyte,ATP1A2
fine,normal,Astrocyte,GLUL
fine,normal,Astrocyte,ETNPPL
fine,normal,Astrocyte,NTRK2
fine,normal,Astrocyte,SERPINA3
fine,normal,Astrocyte,AGT
fine,normal,Astrocyte,SERPINE2
fine,normal,Astrocyte,ADGRV1
fine,normal,Astrocyte,PLPP3
fine,normal,Astrocyte,MGST1
fine,normal,Astrocyte,GPM6A
fine,normal,Astrocyte,DKK3
fine,normal,Astrocyte,FAM107A
fine,normal,Astrocyte,TSPAN7
fine,normal,Astrocyte,GPRC5B
fine,normal,Astrocyte,ITM2C
fine,normal,Astrocyte,WIF1
fine,normal,Astrocyte,GJA1
fine,normal,Astrocyte,NDRG2
fine,normal,Astrocyte,CXCL8
fine,normal,Astrocyte,IGFBP7
fine,normal,Astrocyte,F3
fine,normal,Astrocyte,CLDN10
fine,normal,Astrocyte,ATP1B2
fine,normal,Astrocyte,CST3
fine,normal,Astrocyte,AHCYL1
fine,normal,Astrocyte,CSRP1
fine,normal,Astrocyte,TTYH1
fine,normal,Astrocyte,TPD52L1
fine,normal,Astrocyte,DTNA
fine,normal,Astrocyte,GJB6
fine,normal,Astrocyte,PTGDS
fine,normal,Astrocyte,GRAMD2B
fine,normal,Astrocyte,GPR37L1
fine,normal,Astrocyte,HTRA1
fine,normal,Astrocyte,SCG3
fine,normal,Astrocyte,CNN3
fine,normal,Astrocyte,S100B
fine,normal,Astrocyte,SLC25A18
fine,normal,Astrocyte,MGLL
fine,normal,Astrocyte,TSC22D1
fine,normal,Astrocyte,TUBB2B
fine,normal,Astrocyte,GPM6B
fine,normal,Oligodendrocyte,PLP1
fine,normal,Oligodendrocyte,PTGDS
fine,normal,Oligodendrocyte,PPP1R14A
fine,normal,Oligodendrocyte,MBP
